Week,BTS,EXO,BLACKPINK,TWICE,SEVENTEEN
1/1/2023,99,11,44,20,13
8/1/2023,99,11,43,15,13
15/1/2023,85,9,39,17,12
22/1/2023,83,9,38,17,11
29/1/2023,91,9,44,16,12
5/2/2023,89,10,44,15,13
12/2/2023,85,9,33,14,13
19/2/2023,84,10,35,18,12
26/2/2023,82,9,38,16,11
5/3/2023,84,9,50,20,11
12/3/2023,82,11,63,21,11
19/3/2023,81,11,50,25,10
26/3/2023,78,10,49,17,10
2/4/2023,79,12,45,16,11
9/4/2023,77,12,46,17,11
16/4/2023,79,11,59,16,11
23/4/2023,77,10,56,19,23
30/4/2023,76,11,47,17,20
7/5/2023,80,11,42,18,18
14/5/2023,81,10,48,19,17
21/5/2023,74,10,47,19,19
28/5/2023,87,12,43,16,17
4/6/2023,88,11,42,17,17
11/6/2023,100,12,65,20,15
18/6/2023,77,9,42,17,13
25/6/2023,75,10,48,18,14
2/7/2023,77,11,48,19,16
9/7/2023,84,15,42,16,14
16/7/2023,65,13,41,14,15
23/7/2023,63,11,52,13,16
30/7/2023,62,11,54,14,15
6/8/2023,68,10,51,12,15
13/8/2023,61,10,41,14,14
20/8/2023,59,10,38,13,14
27/8/2023,65,10,36,16,13
3/9/2023,59,9,30,16,14
10/9/2023,59,9,30,16,13
17/9/2023,66,9,40,14,12
24/9/2023,59,9,31,13,12
1/10/2023,59,9,29,13,12
8/10/2023,57,8,25,10,12
15/10/2023,56,8,25,11,12
22/10/2023,60,10,24,11,15
29/10/2023,51,8,24,11,14
5/11/2023,52,8,23,11,14
12/11/2023,55,8,24,11,15
19/11/2023,60,9,29,11,14
26/11/2023,57,9,25,11,15
3/12/2023,63,9,28,12,15
10/12/2023,66,9,24,15,16
17/12/2023,57,10,23,14,16
24/12/2023,69,10,28,17,17
31/12/2023,61,9,27,16,19
7/1/2024,52,8,22,12,17
14/1/2024,52,8,22,11,18
21/1/2024,49,8,21,11,15
28/1/2024,49,8,20,15,15
4/2/2024,47,8,21,17,13
11/2/2024,49,7,20,12,14
18/2/2024,45,8,19,13,13
25/2/2024,46,8,19,13,11
3/3/2024,47,8,19,14,11
10/3/2024,43,8,18,14,11
17/3/2024,47,10,18,14,11
24/3/2024,54,15,21,14,13
31/3/2024,52,13,19,14,13
7/4/2024,48,11,19,12,12
14/4/2024,51,11,19,11,11
21/4/2024,48,10,19,12,12
28/4/2024,48,10,20,12,17
5/5/2024,48,9,19,11,14
12/5/2024,48,9,17,11,15
19/5/2024,49,9,19,11,15
26/5/2024,52,9,18,11,14
2/6/2024,54,9,17,10,11
9/6/2024,65,9,17,11,12
16/6/2024,51,9,18,10,13
23/6/2024,46,9,21,10,13
30/6/2024,44,8,20,9,12
7/7/2024,48,8,19,13,11
14/7/2024,46,8,18,17,11
21/7/2024,43,8,20,15,13
28/7/2024,43,8,22,13,11
4/8/2024,46,8,22,10,12
11/8/2024,48,7,18,10,13
18/8/2024,44,8,17,9,13
25/8/2024,47,8,15,9,12
