Week,BTS,Ariana Grande,Justin Bieber,One Direction,Billie Eilish
1/1/2023,95,20,21,9,23
8/1/2023,98,18,21,7,22
15/1/2023,85,19,21,8,20
22/1/2023,83,18,27,7,22
29/1/2023,94,17,23,8,19
5/2/2023,91,17,23,9,18
12/2/2023,81,18,21,9,17
19/2/2023,83,20,23,8,17
26/2/2023,82,19,66,7,17
5/3/2023,83,19,79,10,17
12/3/2023,79,18,62,9,25
19/3/2023,82,17,41,10,30
26/3/2023,76,18,32,8,26
2/4/2023,77,19,31,8,22
9/4/2023,75,55,26,10,20
16/4/2023,80,27,24,8,17
23/4/2023,74,21,23,8,17
30/4/2023,78,19,23,7,22
7/5/2023,80,18,21,7,18
14/5/2023,80,17,20,7,19
21/5/2023,76,18,19,8,18
28/5/2023,87,17,20,8,21
4/6/2023,89,17,20,8,18
11/6/2023,100,16,20,8,24
18/6/2023,76,17,19,7,27
25/6/2023,74,20,19,7,23
2/7/2023,77,16,19,7,21
9/7/2023,83,16,21,8,24
16/7/2023,66,50,20,7,22
23/7/2023,64,40,20,8,24
30/7/2023,60,36,21,6,25
6/8/2023,68,26,20,6,26
13/8/2023,62,22,21,6,30
20/8/2023,59,24,24,6,27
27/8/2023,61,22,24,6,26
3/9/2023,59,19,21,5,20
10/9/2023,59,21,21,5,19
17/9/2023,65,22,20,6,18
24/9/2023,57,18,19,6,18
1/10/2023,56,19,18,6,18
8/10/2023,56,18,21,7,18
15/10/2023,57,16,23,6,19
22/10/2023,56,17,25,6,17
29/10/2023,51,17,23,6,18
5/11/2023,52,18,22,6,17
12/11/2023,56,19,20,6,22
19/11/2023,59,19,25,6,19
26/11/2023,58,19,31,5,21
3/12/2023,63,20,24,5,36
10/12/2023,66,21,22,5,20
17/12/2023,59,23,25,5,25
24/12/2023,69,26,24,6,20
31/12/2023,59,23,21,6,18
7/1/2024,51,34,21,5,24
14/1/2024,54,35,20,5,18
21/1/2024,50,27,22,6,19
28/1/2024,50,24,24,6,20
4/2/2024,49,24,31,6,36
11/2/2024,49,25,37,6,18
18/2/2024,47,20,23,6,18
25/2/2024,45,23,36,6,17
3/3/2024,47,43,26,6,16
10/3/2024,44,65,24,6,49
17/3/2024,47,42,24,5,19
24/3/2024,55,33,34,6,19
31/3/2024,53,28,38,6,28
7/4/2024,47,24,28,5,28
14/4/2024,53,21,30,5,23
21/4/2024,48,21,26,5,35
28/4/2024,50,20,34,6,60
5/5/2024,49,26,53,6,35
12/5/2024,49,21,31,6,57
19/5/2024,51,21,23,6,68
26/5/2024,51,20,21,6,43
2/6/2024,57,20,19,6,38
9/6/2024,65,22,18,5,39
16/6/2024,50,19,19,5,34
23/6/2024,45,20,18,5,30
30/6/2024,46,18,22,6,30
7/7/2024,48,19,31,6,32
14/7/2024,46,20,22,6,30
21/7/2024,47,20,22,8,28
28/7/2024,46,19,20,5,34
4/8/2024,47,22,18,5,36
11/8/2024,49,19,19,5,56
18/8/2024,46,19,32,5,37
25/8/2024,46,18,32,6,30
